1,1,"CNN 的封面可以不可以重拍！", 1
2,2,"超人不會飛，但是超人會肥。", 0
3,3,"哥，出首單曲吧，我等瘋了。", 0
4,4,"超人不會飛❤️封面能不能重拍😂", 1
5,5,"超人不會飛！！! 哥好帥呀！❤️❤️🔥🔥👏👏🙌🙌😍😍", 1
6,6,"周董 跨時代的 超人不會飛", 1
7,7,"“CNN能不能等英文好一點再訪，時代雜誌封面能不能重拍”", 0
8,8,"哥這個封面是帥的，英語也棒棒噠 🤣🤣🔥🔥🔥", 0
9,9,"CNN能不能等英文好一點再訪，時代雜誌封面能不能重拍😂", 0
10,10,"超人這次會飛啦😂", 0
11,11,"超人不會飛~", 0
12,12,"國際周！！！地表最強🔥🔥", 1
13,13,"猜對有獎勵嗎🤔", 1
14,14,"超人不會飛", 1
15,15,"CNN能不能等英文好一點再訪", 0
16,16,"INITIAL D ❤️❤️❤️❤️❤️❤️🔥🔥🔥🔥🔥🔥", 1
17,17,"要控制飲食不然就跟杜莎夫人蠟像的我不像（本來就不像～）", 1
18,18,"鹹蛋超人不會飛🙌", 0
19,19,"超人不會飛", 0
20,20,"跟杜莎夫人蠟像的你不想，哈哈哈", 1
21,21,"超人不會飛🔥🔥🔥", 0
22,22,"Oi my money", 1
23,23,"《superJay can't fly》", 0
24,24,"🔥♨😙❤🔥♨😙❤♨😙❤👑🙆😍👑🙆😍👑", 1
25,25,"超人不會飛", 0
26,26,"超人不會飛！！！", 0
27,27,"還沒看留言 卻一秒有答案", 1
28,28,"超人不會飛！！", 1
29,29,"好帥", 1
30,30,"CNN的封面啥時候再拍一次啊哥", 1
31,31,"超人不會飛", 0
32,32,"反正他已經5年沒發新專輯了", 1
33,33,"哥，聽說你五年沒發專輯了😂😂😂心裡的雨傾盆的下，也沾不溼哥的發😂😂😂😂", 0
34,34,"周杰倫: 我覺得一年不發一張專輯，真的太可惜了", 0
35,35,"超人不會飛！！！", 1
36,36,"CNN能不能等英文好一點再訪", 1
37,37,"哥，你已經整整五年沒發專輯了😂", 1
38,38,"超人不會飛❤️❤️", 1
39,39,"杰倫我明天中考😢", 0
40,40,"我最愛的歌，超人不會飛", 1
41,41,"超人不會飛？", 1
42,42,"嗨，杰倫，我有幸去現場看過你的超時代洛陽演唱會，那次還有浪花兄弟，在2011年，已經11年了，從小學就開始聽你的音樂，小時候暑假一個人在家每天都是看The one演唱會和後來的無與倫比演唱會光碟，最愛的歌曲是《晴天》。五年沒有出過專輯了吧，大家都等著呢。😄😄😄", 0
43,43,"超人不會飛🦸‍♂️", 1
44,44,"哥！五年了！！我等了五年的新專輯！！！！😭", 0
45,45,"👍🏻👍🏻👍🏻", 1
46,46,"琥珀色黃昏像糖在很美的遠方🔥🔥🔥", 0
47,47,"新專輯錄完了嗎👏👏👏👏👏", 0
48,48,"景色不錯", 0
49,49,"工作完哥要好好休息～", 0
50,50,"隨時隨地的藝術作品", 0
51,51,"好好休息哥，超人也要在空中停一停歇👏", 0
52,52,"真好看❤️", 1
